"","Project","Description_new","Result_Title","Indicator","type_result","Quarter_reported","Status","Modified_Time","ID","count","Type","Description","Project.Lot","Project.Start_Date","Quarter_expected","Was_expected","Element","Sort","Implementor","Country","component","ID_Project","Project_QA"
"307","City of Johannesburg Electric Vehicle Readiness Support","A learning exchange split over two 2-hour sessions with the aim to provide the City of Johannesburg and City of Cape Town the opportunity to share experiences on the implementation of electrical vehicles. The first session took place on the 23 March 2021 and was attended by 21 people (10 male, 11 female) and covered an overview of Cape Town's EV work. The second session took place on the 25 March 2021 and was attended by 22 people (13 male and 9 female), dived into the details of Cape Town's EV energy demand forecast. Detailed inputs were given by the City of Cape Town EV team and robust discussion took place to enable the desired learning exchange. "," Two EV learning exchange workshops between City of Cape Town and City of Joburg","Output 1. 'Training of key actors'","Output","2021 Q1","Approved","23-Jul-2021 13:59:01","3814659000000898015",1,"In_reported","Two EV learning exchange half day to full day workshops between City of Cape Town and City of Johannesburg. The duration of the workshops depend on availability and agenda. The purpose of the first workshop is to build Johannesburg staff capacity on policy / project levers / methods of EV implementation / support through knowledge-sharing on learnings from EV work undertaken by Cape Town, specifically (but not limited to) the EV Tariff Briefing document, their solar-powered EV charging stations, EV buses and EV fleet pilot.
The purpose of the second workshop is to align the EV approaches of Cape Town and Joburg in order to influence policy and regulation. This workshop will further build Johannesburg staff capacity on building EV charging infrastructure. This workshop will also serve as a platform to compare modelling results.
The expected staff that will be trained are from the following departments at the City of Cape Town and City of Johannesburg : Sustainable energy markets, distribution network development, enterprise & investment, air quality, transmission system development, electricity generation and distribution , electricity department , transport and urban development ,environment and infrastructure services department. ","Component 1: bilateral programme fund","18-Feb-2021","2021 Q1",TRUE,"Output 1: Skills enhanced",1,"Sustainable Energy Africa","South Africa","Component 1: bilateral programme fund","3814659000000836123","Yes"
"308","City of Johannesburg Electric Vehicle Readiness Support","1 day online session with stakeholders from City of Cape Town, City of Johannesburg, City Power, CSIR, Department of Transport, Eskom, Stellenbosch University 's Power Systems Research Group and uYilo. 18 participants attended (10 male and 8 female).
The aim of the workshop was to outline the city's role in electric vehicle uptake and charging infrastructure rollout based on current research and have the invited stakeholders and SEA to share their  relevant research on the grid impacts of EVs. 

The presentation given by CSIR Energy Centre focused on national EV grid impact, while Eskom discussed their e-Mobility project with Stellenbosch University's Power Systems Research Group explored EV hosting capacity on MV (medium voltage) and LV (low voltage) networks. uYilo and the City  of Cape Town focused on enabling EVs in South Africa and Cape Town EV framework respectively. 

The agenda covered the following : key roles played by the City of Johannesburg , key research findings around EV uptake , charging behaviour, charging impact, charging infrastructure requirements, smartification and city ownership , and regulations.  The session included robust debate about best strategies to mitigate EV grid impacts on City Power's grid. City Power's capacity and knowledge was vastly increases.","Capacity building workshop with City Power tariff team on tariff setting for EVs","Output 1. 'Training of key actors'","Output","2021 Q2","Approved","23-Jul-2021 14:00:43","3814659000001194003",1,"In_reported","The workshop with City Power staff and NERSA representatives will draw on an EV tariff review and aims to build staff capacity to inform the determination of the City's EV tariff.","Component 1: bilateral programme fund","18-Feb-2021","2021 Q3",TRUE,"Output 1: Skills enhanced",1,"Sustainable Energy Africa","South Africa","Component 1: bilateral programme fund","3814659000000836123","Yes"
"309","Accelerating high-quality growth in China’s Green Bond market and supporting post-COVID green economic recovery","An one-hour discussion between CBI and the Chinese green bond investor community, focusing on the implications of China's carbon neutrality target on green investments, followed by a post-event blog published on 22 June 2021 

Target audience: Green bond investors both international (Blackrock, AIIB,etc.) and Chinese (China Industrial Bank, BOC, ABC, Huaxia Bank, Harvest Fund Management, etc) 

","Creation of ‘first movers’ to spearhead an investor-led initiative to phase out refinancing of fossil fuel companies. ","Output 4. 'Network created/strenghtened'","Output","2021 Q2","Pending","27-Jul-2021 17:30:52","3814659000001213011",1,"In_reported","A survey-based research to assess investor appetite and preference in the green fixed-income markets, followed by two networking webinars on promoting investor appetite and showcasing green projects. Creation of a group of “first movers” to establish/strengthen climate-related networks among green bond investors, underwriters and issuers between Chinese and international market, and to enhance the capacity and influence of this group of practitioners in the making of policy agenda and market decisions that have implications on expediting the reduction of carbon emissions.","Component 1: bilateral programme fund","02-Mar-2021","2021 Q2",TRUE,"Output 4: Networks created and strengthened",4,"Climate Bonds Initiative	","China","Component 1: bilateral programme fund","3814659000000638035","Yes"
"310","Accelerating high-quality growth in China’s Green Bond market and supporting post-COVID green economic recovery","PARTIALLY ACHIEVED: 

A capacity-building workshop is hosted for CBI's approved verifiers in greater China. 24 attendees altogether with 14 F, 7 M and 3 not stated. Objective was to share experience on Financing Credible transitions (entities, activities and assets need to make from today’s high greenhouse gas emissions to levels commensurate with meeting the goals of the Paris Agreement.)
","Climate Bonds Assurance Roundtables","Output 4. 'Network created/strenghtened'","Output","2021 Q2","Pending","27-Jul-2021 17:43:18","3814659000001213051",1,"In_reported","Host of quarterly Climate Bonds Assurance Roundtables for the 17 of CBI's Approved Verifiers in China (e.g. EY, PwC, Deloitte, CCX, Lianhe Equator etc) who served as a primary green bond verifier in China. The attendees are expected to be in the range of 15-20, and the workshops will last for 2-3 hours.

The Assurance Roundtable is to provide a collaborative platform for Chinese green bond verifiers and prospective verifiers to share first-hand experiences and discuss the principles, approaches and practicalities of the Chinese and international green bond standards and certification scheme, in order to enhance capacity. The CBI team will also present on the progress of industry standards for climate bond certification, other regional/intl standards, and the key findings of the CBI issue papers.","Component 1: bilateral programme fund","02-Mar-2021","2021 Q1",TRUE,"Output 4: Networks created and strengthened",4,"Climate Bonds Initiative	","China","Component 1: bilateral programme fund","3814659000000638035","Yes"
"311","Promoting green recovery by championing the power of disclosure, transparency and UK-China collaboration","CDP has completed a Gap Analysis Report that assesses progress that key companies have taken to align business practice to the TCFD. This includes a description of TCFD, and data extracts of assessing the readiness of companies in disclosing in line with the TCFD recommendations. 
","Report of gap analysis of disclosure status against TCFD alignment of Chinese members of China-UK Pilot group.","Output 2.2. 'Recommendation proposed for other actions'","Output",NA,"Pending","27-Jul-2021 18:07:24","3814659000001213099",1,"In_reported","Gap analysis report following technical support to pilot companies and subsequent  gap analysis of disclosure status (and quality) of pilot listed companies against TCFD alignment.","Component 1: bilateral programme fund","17-Feb-2021","2021 Q2",TRUE,"Output 2: Recommendations proposed",2,"CDP","China","Component 1: bilateral programme fund","3814659000000726015","Yes"
"312","Promoting green recovery by championing the power of disclosure, transparency and UK-China collaboration","CDP has completed a research of readiness of Chinese listed companies and FIs for TCFD-aligned disclosure, the report will be launched formally on 29th June at CDP web, download will be available.1 Uploaded is draft Chinese Version submit (EN version will be uploaded at the end of July). 
","Assessment report of readiness of Chinese listed companies and FIs for TCFD-aligned disclosure","Output 3.1. 'Knowledge product developed'","Output","2021 Q2","Pending","27-Jul-2021 18:29:04","3814659000001213075",1,"In_reported","Assessment of readiness of Chinese listed companies and FIs for TCFD-aligned disclosure, and dissemination of key findings with  policy makers, investors and companies.","Component 1: bilateral programme fund","17-Feb-2021","2021 Q2",TRUE,"Output 3: Knowledge generated and disseminated",3,"CDP","China","Component 1: bilateral programme fund","3814659000000726015","Yes"
"313","Operationalising Energy Performance Certificates in South Africa","The final report (titled NBEPR Functional and technical specification, and reporting protocols) builds on the functional and non-functional NBEPR requirements first discussed in the previous report (NBEPR User needs, functionality and technical outline, data management and governance policies report) and details the technical specifications to which the NBEPR must be built in order to meet the functional and non-functional requirements. These technical specifications also form the user acceptance criteria for the NBEPR. Further, guidance is provided on the design of the NBEPR database (the robustness of which is key to facilitating data interrogation and reporting, which in turn is expected to inform climate related reporting and policy making) and a number of additional system requirements, including requirements for meeting the needs of people with disabilities. The document is intended to allow for the SANEDI appointed subcontractor to develop a NBEPR that meets user needs and best practices identified in the prior reports.   

","Policy recommendations for the  National Building Energy Performance Register (NBEPR) delivered to enabling environment actors","Output 2.1. 'Recommendation proposed for policy/legislation'","Output","2021 Q3","Pending","03-Aug-2021 09:38:57","3814659000001306003",1,"In_reported","The policy recommendations developed will contain a set of practical interventions to ensure wide adoption of EPC mechanisms across both the public and private sector in South Africa. ","Component 1: bilateral programme fund","02-Mar-2021","2021 Q4",TRUE,"Output 2: Recommendations proposed",2,"Carbon Trust Africa","South Africa","Component 1: bilateral programme fund","3814659000000837011","Yes"
"314","Capacity building for green investment and the Green Investment Principles (GIP)","Baseline assessment report to provide an overview of green finance development in Central Asia to evaluate the development progress and regional best practices in Mongolia, Kazakhstan, and Pakistan, as they have achieved notable progress in regulatory framework and accumulated experience in market practice. The analysis suggests while green finance has taken off in Central Asia, it is still at a preliminary stage. The report identifies several challenges with green finance development (including: lack of systematic regulatory policy, limited institutional coordination, lack of enforcement of environmental disclosure, and gaps in climate related risk management), and provides recommendations in response to these challenges. 

Beneficiary: Financial institutions, government departments, industry organizations, and project owners in Central Asia, as well as NGOs, academic research institutions, etc.

Date of release: End of March.

","Green Finance Research Report for Central Asia","Output 3.1. 'Knowledge product developed'","Output","2021 Q1","Approved","03-Aug-2021 11:03:14","3814659000000910003",1,"In_reported","Baseline report to discover the current state of green finance in Central Asia and help project’s stakeholders better understand the regional opportunities for green investment and financing. It will also combine the expertise of GIP members and pre-existing tools (e.g. green project database) with original analysis to develop a financing gap analysis and roadmap for Central Asia. ","Component 1: bilateral programme fund","19-Feb-2021","2021 Q1",TRUE,"Output 3: Knowledge generated and disseminated",3,"Beijing Institute of Finance and Sustainability","China","Component 1: bilateral programme fund","3814659000000726035","Yes"
"315","Sabah Renewable Energy Rural Electrification Road Map","ACHIEVED:  30 Field Researchers and 43 Field Research Assistants trained as the original core audience (plus 13 other consortium staff) and deployed with guidance documents and three research schedules.
We have trained more people than our target of 60, so that we have additional and reserve staff for deployment if and when needed in particular locations.  This field work is difficult and sensitive, not all field researchers will prove able to manage the typically complex situations on the ground.  Flexibility enabled us to continue training whatever the status of the MCO.  

55% of the Field Researchers/Assistant Field Researchers trained are female.  

 In partnership with KPLB we were able to brief all the relevant District Officers and Assistant District Officers about the project and (with a bumpy start) to develop protocols with them around the communications and protocols for site visits.  Some District Offices also supplied valuable data for project planning.  By 30th June 2021 field teams had visited 40 villages identified under the Demand Map (Output One) to undertake the project portfolio data gathering.  25 Village profiles, 57 Focus Group Discussions and 19 Pre-Feasibility studies were undertaken in these 40 villages by 30th June 2021.  Trial analyses have been undertaken of this first set of data to improve our internal protocols and data management systems.  This work is ahead of schedule, and would have been even more advanced if it had not been for the re-application of MCO-SOPs and the reluctance of some villages to receive visitors during pandemic times.  Our team have done what they can including taking COVID-19 tests, and when possible vaccinations, before field work, and other measures to build trust.  The strategy of training local people from within the target districts is assisting with access, but PACOS is also obliged to innovate a “call-center” approach to data collection in areas where we are not currently allowed to visit.  The goal of 200 Villages profiled is scheduled for completion in October 2021.  Field visits are documenting that many villages are partially electrified, using personal, private or public systems mostly solar and diesel generator.  A more nuanced assessment of levels of electrification will therefore need to be developed for Sabah to understand the demand profile and project portfolio.  ","Field research training and deployment to develop village data profiles","Output 1. 'Training of key actors'","Output",NA,"Pending","06-Aug-2021 10:35:02","3814659000001301009",1,"In_reported","The project will train 60 members of marginalised indigenous communities in documenting, analysing and reporting data on their own needs of importance to the Road Map and project planning process. The structure of training will depend on MCO regulations, but we anticipate blocks of formal training (in-person or remote, followed by on-the-job mentorship). Trainees will be deployed as 30 Field Researcher/Community Organizers and 30 Field Assistant Researchers to detail demand, capacity and potential supply options in 200 villages in their home areas to generate data about contemporary demand, launch a project stream and build awareness and demand for electrification with renewable. Currently, almost nothing is known about non-electrified communities upon which to design the Road Map, identify priority project suites and to connect technical feasibility studies with socio-economic and management issues.","Component 1: bilateral programme fund","20-Apr-2021","2021 Q2",TRUE,"Output 1: Skills enhanced",1,"Forever Sabah","Malaysia","Component 1: bilateral programme fund","3814659000000951115","Yes"
"316","Distilling the JET in South Africa: Harmonizing conflict and seeking opportunities","
On 3 June 2021 TIPS hosted an 2 hour long online workshop titled ""Development dialogue : key priorities and challenges for a Just Transition in Emalahleni and Steve Tshwete programme'   .The key speakers were from the Mo Ibrahim foundation, Vukani Environmental Justice Movement in Action (VEJMA),  Chemical, Energy, Paper, Printing, Wood and Allied Workers' Union (CEPPWAWU), Environmental and Waste Management Directorate of  Emalahleni municipality, Minerals Council South Africa and SouthSouthNorth. The audience consisted of 8 non-binary/prefer not say, 116 males and 150 males. The panel was asked how communities can get involved in just transition. The CEPPWAWU speaker indicated that trade unions would likely support renenwable energy if it could be shown to them practically how coal mining workers will still have jobs as the country makes the transition. The VEJMA speaker highlighted the negative social and health impacts of coal mining in these municipalities. The speaker from the Environmental and Waste Directorate of the Emalahleni municipality annouced that the draft climate change strategy will be submitted to the council for approval on 04 June 2021.
","Public workshops - the exact topic/agenda is TBC","Output 4. 'Network created/strenghtened'","Output","2021 Q2","Pending","06-Aug-2021 10:45:10","3814659000001331011",1,"In_reported","A series of three public workshops will be held with local stakeholders to foster collaboration and share evidence, relevant to the JT in Mpumalanga. The workshops will target government departments, state-owned entities, private sector, labour unions, and civil society and community based organisations, and research organisations. ","Component 1: bilateral programme fund","16-Feb-2021","2021 Q2",TRUE,"Output 4: Networks created and strengthened",4,"Trade and Industrial Policy Strategies ","South Africa","Component 1: bilateral programme fund","3814659000000837179","Yes"
"317","Harmonisation and capacity building for green finance in Belt and Road Investments","PARTIALLY COMPLETED: 

""On 24-25 June, we held the first of two training sessions with Chinese financial institutions focused on building awareness and capacity to deal with climate risks, disclosure, and overseas investments.

The training was attended by representatives from some of China’s most influential financial institutions, including the Bank of China, the Industrial and Commercial Bank of China, the Export-Import Bank of China, the Silk Road Fund, the China Export & Credit Insurance Corporation (Sinosure), the China Agricultural Bank, the China Construction Bank and Ping An Insurance, as well as officials from China’s MEE.

Speakers included prominent names in the sector of green finance, including Dr. Ma Jun, China’s most prominent expert on green finance, Prof. Wang Canfa, an expert on environmental law, as well as Dr. Christoph Nedopil Wang, Dr. Wang Yao, and ClientEarth’s Chief Representative in China, Dimitri de Boer. 

The workshop was highly successful in terms of promoting the outcomes of this project. The participants demonstrated that their institutions were highly aware of the issue of environmental risks in overseas investments, and are searching for ways to deal with the problem. During the workshop many constructive exchanges took place, with the representatives of the financial institutions actively participating, offering their views and learning from others.   The most successful segments were the interactive parts, including a mock-up case study of a hydropower project that ran into major problems.""

Among the participants to the workshop were 29 men, 41 women, and 13 participants for whom we did not collect this information.  Unfortunately we failed to collect precise data on the gender of all the participants, but we will do so in the future workshops.
","Training workshops with key financial institutions on new environmental risk mitigation systems","Output 1. 'Training of key actors'","Output","2021 Q2","Pending","06-Aug-2021 12:43:30","3814659000001213063",1,"In_reported","Two 2-day training workshops with more than 50 relevant participants on topics such as climate risk, disclosure, and the operationalisation of the GIP and GDG, enhancing their awareness and capacity of applying these new environmental risk mitigation systems. 

The focus of the training may be slightly different from first workshop as above, and some participants may also be slightly different. The second training will go deeper into certain aspects, and incorporate learning and follow up from the first session.","Component 1: bilateral programme fund","29-Jan-2021","2021 Q3",TRUE,"Output 1: Skills enhanced",1,"ClientEarth","China","Component 1: bilateral programme fund","3814659000000725063","Yes"
"318","STRAPSA - Shifting the transport  paradigm  for South Africa","First training intervention : DTIC 
On day one 16 delegates received training on an introduction to electric vehicles and electric transportation (road). Under an introduction to electric vehicles, the following topics were covered:  Why are electric vehicles needed?; Impacts of the status quo; The road to correcting the impacts of the status quo; History of mobility; Mobility today; Transitions to electric mobility; Driving an electric vehicle: efficiency, costs and emissions; Electric vehicle safety and Debunking the myths about EVs. Under Electric transportation (road) the following topics will be covered: Electric vehicle system ecosystem; Electric vehicle landscape; Private vehicles; Micromobility for marginalised and vulnerable communities; Fleet vehicles and Public transport (road).

On day two 18 delegates received training on electric vehicle charging infrastructure. The following topics were covered An introduction to electric vehicle charging infrastructure; Publicly accessible chargers, Electric busses and Ancillary services from electric vehicle fleets. 

Audience : Senior Management within the Industrial Development Division: Green Industries; Automotive Sector. Senior Staff within the Industrial Development Corporation (IDC); Senior Staff within Invest SA; Senior Staff within International Trade Administration Commission (ITAC).

Second training intervention : Western Cape government 
On day one 21 delegates received training on an introduction to electric vehicles and electric transportation (road). Under an introduction to electric vehicles, the following topics were covered:  Why are electric vehicles needed?; Impacts of the status quo; The road to correcting the impacts of the status quo; History of mobility; Mobility today; Transitions to electric mobility; Driving an electric vehicle: efficiency, costs and emissions; Electric vehicle safety and Debunking the myths about EVs. Under Electric transportation (road) the following topics will be covered: Electric vehicle system ecosystem; Electric vehicle landscape; Private vehicles; Micromobility for marginalised and vulnerable communities; Fleet vehicles and Public transport (road).

On day two 21 delegates received training on electric vehicle charging infrastructure. The following topics were covered An introduction to electric vehicle charging infrastructure; Publicly accessible chargers, Electric busses and Ancillary services from electric vehicle fleets. 

Audience : Senior Staff within the Western Cape Government and Western Cape Local Government (City of Cape Town). Two Graduates in Training working for Western Cape Government. One Student working for Western Cape Local Government (City of Cape Town)


","Seven 2-day training workshops  with personnel (key decision makers) from various national departments ","Output 1. 'Training of key actors'","Output","2021 Q2","Pending","06-Aug-2021 15:32:09","3814659000001332003",1,"In_reported","Seven 2 day training workshops with key decision makers from the National and Provincial Department of Transport, National Department of Trade, Industry and Competition, National Department of Environment, Forestry, and Fisheries, National Department of Mineral Resources and Energy, National Road Agency, National Treasury, and Eskom Holdings. The training will be conducted online and is expected to have 20-30 people in attendance for each. Day one will cover the following topics on e-mobility: Public transport (road); fleet vehicles -government and industry; private vehicles; micro mobility for marginalised and vulnerable communities. Day two will cover the following topics on e-mobility and charging infrastructure: electric busses; publicly accessible chargers; ancillary services from electric vehicle fleets. Hiten Parmar, Edem Foli and Julien de Klerk will be providing the training. ","Component 1: bilateral programme fund","24-Feb-2021","2021 Q2",TRUE,"Output 1: Skills enhanced",1,"Nelson Mandela University","South Africa","Component 1: bilateral programme fund","3814659000000837139","Yes"
"319","Sustainable Tourism Enhancement Project - Phase 2: Boosting conservation and emissions reduction through tourism and technology","[PARTIAL ACHIEVEMENT 2021-Q2]  The Marketing Strategy was created. It contains the tactics and actions that will be carried out for the commercialization of 10 destinations, while giving visibility to conservation initiatives. After doing a general diagnosis and a DOFA and PESTELT analysis to prioritise the destinations to be commercialised, the following 10 destinations were selected: Bahía Malaga, Puerto Nariño, Casanare, Río Guejar (Meta), Nuquí, Inírida, La Macarena, Mocoa - Orito, Ipiales and Cali surroundings. The analysis also included collection of travelers' perceptions through surveys. The implementation of the marketing strategy started in May and has been active for three months. Up until 30 June 2021, total sales were of COP $429,331,151 (GBP 78,000 approx) in Villaviencio, Putumayo, La Macarena, Guainía , Nuquí, Río Güejar and Puerto Nariño. ","Commercialization strategy and high-quality audiovisual content that showcases the tourism experiences, hosts conservation efforts, impact of GHG emission reduction, and the results of the monitoring and measurement pilot program","Output 3.2. 'Communication product disseminated'","Output","2021 Q2","Pending","09-Aug-2021 23:17:37","3814659000001213111",1,"In_reported","Design and implementation of a commercialization strategy to showcase the environmental impact of the initiatives and critical climate-related content to engage and bring awareness to travelers and other donors. It includes developing high quality audiovisual content for 10 destinations, with the following results:
- 4 destinations with a 1-minute video, a 30-second video. and 50 photographs.
- 6 destinations with a 5-minute video, a 30-second long video, and 50 photographs.
The audiovisual content will not only showcase the most important and significant destinations and nature highlights, but will also showcase the community, their conservation efforts, and monitoring results. This content will be used for the marketing and positioning strategy, but will also be shared with the local organizations for their own marketing.","Component 1: bilateral programme fund","10-Mar-2021","2022 Q1",TRUE,"Output 3: Knowledge generated and disseminated",3,"Awake Travel","Colombia","Component 1: bilateral programme fund","3814659000000912015","Yes"
"320","The development of a Green Economy Cluster organisation to support Mpumalanga's role in the validation, implementation and follow-on research of the South African Renewable Energy Industry Masterplan (SAREM)","This document provides a breakdown of the current progress of the South African Renewable Energy Masterplan. It provides a consolidated view of stakeholder inputs towards workstreams for identified plan actions/levers. This is an important step in ensuring that the SAREM and its recommended actions are pragmatic, sensible and will lead to the desired outcomes. This record of emerging workstreams and potential levers forms a reference for discussion to prioritize focus and refine and validate implementation plan elements.

Six specialist focus groups were held to formulate a shortlist of opportunities, market bottlenecks, required drivers and potential levers in a specific focus area draft SA Renewable Energy Masterplan. 

(i) Industry reference focus group - energy planning (sector coupling) :  A focus group workshop was held on 7 April 2021. This workshop was lead by GreenCape and The Council for Scientific and Industrial Research (CSIR). The discussion focused on unlocking the significant opportunities associated with the hydrogen economy, hydrogen export potential and sector coupling of heat and transport to the power sector. The list of proposed levers was categorized
into Policy and Markets, Technology and Infrastructure, and Financing.

(ii) Industry Reference Focus group – Electricity planning :As part of the process for defining a long list of levers for the electricity planning focus group, a focus group workshop was held on 7 April 2021. This workshop was lead by GreenCape and Meridian Economics.  In general, the key levers that surfaced from the workshop were focused on stimulating the increased uptake of renewable energy in South Africa’s power sector. Levers were categorized into four main focus areas: market development and regulatory reforms, technical advancements to the transmission network, the role of policy and potential financial interventions that could be implemented.

(iii) Industry   Reference Focus group – Just Transition: As part of the process for defining a long list of levers for the Just Transition focus group, a focus group workshop was held on 8 April 2021. This workshop was lead by GreenCape and Trade & Industrial Policy Strategies (TIPS). As part of an overall, broad strategy and mix of measures, the renewable energy sector can make a positive contribution towards a just transition on at least three key levels: the rollout of renewable energy-based electricity generation can provide a source of economic activity and employment through the deployment (project planning and design, procurement, construction/installation, operation and maintenance) of large-scale power plants and small-scale systems; renewable energy technologies provide a platform to enhance the access to modern energy services by all, including through increased new ownership models; and the development of the renewable energy value chain, from the mining and beneficiation of minerals to the manufacturing of parts, components and systems, to the recycling of components, can generate economic activity and employment in the country.

(iv)Industry Reference Focus group – Transformation :As part of the process for defining a long list of levers  for the Transformation focus group, a focus group workshop was held on 8 April 2021. This workshop was lead by GreenCape and Letsema.  Some of the key challenges that have hindered the participation of marginalised groups are as follows: limited access to finance by Black people in ownership deals; high costs of Black equity financing; the limited flow of benefits in  community ownership trust structure and here is no strategic development of Black people for management role


(v)Industry Reference Focus group – Skills : There were several skills development desktop studies initiated before and around the publishing of the Integrated Resource Plan 2010, which culminated in the intervention of creating the South African Renewable Energy Technology Centre (SARETEC), an initiative of the Department of Higher Education & Training (DHET) and the National Skills Fund (NSF). SARETEC was mandated to undertake targeted skills training of operations and maintenance skills for the wind and solar renewable energy sector. SARETEC, hosted by the Cape Peninsula University of Technology (CPUT), aimed to train local skills to replace foreign technicians working on South African renewable energy power plants after the implementation of REIPPPP( Renewable Energy Independent Power Producer Procurement Programme) Round 1 and 2 projects. The impact of SARETEC on the local skills landscape was measured by subsequent research like the Tracer Studies undertaken between the GIZ and Altgen Consulting. More recent skills development studies with the onset of  Bid Windows 3 and 4 included  the following: GreenCape Green Economy Skills Audit, Altgen, 2019 Report;. An Overview of the Employment Implications of the South African Power Sector Transition, Based on research undertaken by Meridian Economics on behalf of SAWEA, July 2018;A Just Energy Transition in South Africa, Socio-economic needs and the positive impacts of a future low carbon economy. Compiled by RES4Africa in partnership with CSIR & ERM, 2020;Future skills and job creation through renewable energy  in South Africa, CSIR Renac,  IET, UfU & IASS Potsdam,  March 2019;SAPVIA Solar PV Industry Jobs Report, Literature Review, CSIR on behalf of SAPVIA, April 2021.Some of the main outcomes from the above studies include that the lack of certainty in the REIPPPP nullifies any large scale predicted skills shortage in renewable energy. South Africa can significantly boost employment by increasing the share of renewables with jobs concentrated in the services, construction and manufacturing sectors and the bulk of job creation being in the high-skilled labour group. Consideration should be given to a reskilling hub to take advantage of the opportunities renewables offer across the energy value chain to mitigate job losses. Jobs vary substantially between the asset construction and O&M phases, with more jobs in the construction phase than the O&M phase for solar PV; hence continuous rollout of new PV projects is critical to creating new skills and jobs. Finally, the employment implications of the power sector transition are highly complex and dynamic and validating suitably complex and diverse analysis to enhance user understanding of the skills required is a critical aspect.

(v)  Industry Reference Focus group – Export: a  thriving local renewable energy manufacturing sector requires South Africa to be a competitive exporter of renewable energy components, systems and services. The limited focus on driving industrialization and the gap in the REIPPPP process means that South Africa may have missed “window the opportunity” to be a base for exporting to other markets (including future renewable energy projects in Africa), especially as other emerging economies have stepped into the renewable  energy (manufacturing) space in the interim. At the same time, stakeholders have indicated that an export market (i.e. additional demand for components, skills and services) may be required to provide economies of scale for local manufacturing in South Africa. Additional insights are needed to understand and deconstruct this opportunity.   There have been several instances of South African manufacturers of key components exporting locally manufactured components. In particular, Jinko Solar, Tenesol, and Art Solar have  all been exported. GRI, the tower manufacturer, also exported temporarily to keep the factory productive. Many others chose to close down manufacturing facilities as the export opportunity was not sufficient to enable them to continue (e.g. SMA, AEG, SunPower). The global market for Renewable energy components is growing rapidly year on year. This means that new manufacturers can compete in a growing market. Global dynamics like antidumping duties and various domestic manufacturing policies in big manufacturing markets (like China) have big impacts on the competitiveness of locally manufacturing components. Between preferred bidder status and financial close, the IPPO allows a portion of the bid tariff to fluctuate with the exchange rate – this creates
a possible lever for locally manufactured projects and the amount of the tariff that can float on the global risk be decreased round by round.  

Taking into account the SAREM outcomes, the drivers and barriers that have been identified by industry, labour and government stakeholders, ten SAREM workstreams have been proposed in chapter 6 of the report: market consistency/certainty/growth, industry transformation; the development of a local content policy; input materials cost and availability; trade support/export support to access regional opportunities; system readiness; new entrant support/incentives/barrier; local manufacturing competitiveness; creation and support of a skills hub (local use and export skills); and just transition hotspots.

Subject to no impediments to  the process arising, the draft plan is expected to be reviewed and the final plan adopted for implementation by the industry, government, labour and social partners during the 2021-2022 financial year.","SAREM Validation Report ","Output 3.1. 'Knowledge product developed'","Output","2021 Q2","Pending","15-Aug-2021 16:30:26","3814659000001383007",1,"In_reported","A validation of the SAREM with the appropriate stakeholders. This is an important step in ensuring that the SAREM and it's recommended actions are pragmatic, sensible and will lead to the  desired outcomes.","Component 1: bilateral programme fund","29-Jan-2021","2021 Q2",TRUE,"Output 3: Knowledge generated and disseminated",3,"GreenCape","South Africa","Component 1: bilateral programme fund","3814659000000837055","Yes"
"321","Driving the green agenda through aligning SA's climate-related financial disclosure with best practice","Produced two reports, the first "" Climate-related Financial Disclosure in South Africa"", introduces climate-related financial disclosure and motivates for better and more disclosure by South African institutions. It is intended as a resource for readers who want to motivate for disclosure within their institutions. In summary the report covers why climate-related financial disclosure is useful, introduced the Task force on Climate-related Financial Disclosure, described the main types of climate-change related financial impacts, reviewed climate-related financial disclosure trends internationally, considered the local factors influencing disclosures and described the current state of climate-related financial disclosure. 

The second report, “Climate-related disclosures for financial institutions”, provided a review of international best practices for climate disclosures relevant to South African financial institutions. The report discussed (i) the landscape of global climate-related disclosures and best practices, (ii) reporting in  line with TCFD recommendations and details of TCFD disclosure for financial institutions, (iii) relevant metrics and methodologies, (iv) best practices for scenario analysis and (v) local context for South African financial institutions. ","Trends in Climate-related Financial Disclosure Report: What Does it Mean for South Africa","Output 3.1. 'Knowledge product developed'","Output","2021 Q2","Approved","16-Aug-2021 09:37:47","3814659000001204003",1,"In_reported","
Trends in Climate-related Financial Disclosure Report: What Does it Mean for South Africa: Report showcasing international trends and best practice in CFD, and distilling what this means for SA. Result from a desktop review of international trends and best practice in CFD.


","Component 1: bilateral programme fund","22-Feb-2021","2021 Q2",TRUE,"Output 3: Knowledge generated and disseminated",3,"DNA Economics","South Africa","Component 1: bilateral programme fund","3814659000000837039","Yes"
